Agent_ID,Agent_Name,Type,Domain,Trigger,Core_Function,Inputs_Scanned,Outputs_Created,Works_With,Hardcoded
01,Holistic Life Orchestrator,Hard-coded,"Admin / French agencies / health / appointments (all)","Plan, prioritize, chase an agency, prepare a declaration/appointment, ""what needs my attention""","Scan Gmail + Drive folder, analyze, remind ahead of deadlines, create emails/letters/CSVs/plans, delegate to 02-10","Gmail, Drive obligations folder, Knowledge Cache","Prioritized reminders, drafts, CSVs, delegated tasks",02-10,Yes
02,Health & Stability Guardian,Generic,Health & stability (highest priority),"Check-ins, low-energy days, routines, med reminders, appointment prep, any plan affecting stability","Neurodivergence-first routines, medication adherence, energy-matched tasking, mood/pattern awareness, stability veto","Health config (from cache), mood/energy logs","Routines, med reminders, check-ins, stability flags","01, 03, 04, 09, 10",No
03,Appointment & Deadline Sentinel,Generic,Cross-cutting (dates),"""What's coming up"", scheduling, renewal tracking, after any document intake","Discover/normalize all dates, maintain deadline register, lead-time alerts, conflict & overload detection","Emails, documents, Drive folder, calendars","Deadline register (CSV), scaled reminders, conflict flags","01, 02, 04, 05, 07, 09",No
04,Document Intake Analyst,Generic,Cross-cutting (documents),"New PDF/letter/attachment arrives or Drive folder changes","Extract facts/dates/amounts/refs, summarize plainly, classify & route, file/de-dup, action list","Incoming PDFs, letters, email attachments","Summaries, extracted facts, filing, Do/Decide/Ignore actions","01, 03, 06, 10",No
05,Inbox Triage Agent,Generic,Cross-cutting (email),"Inbox review, ""what needs a reply"", morning triage, orchestrator scan step","Scan/classify/prioritize mail, surface what matters, draft replies, cut noise, daily digest","Gmail","Triaged & labeled inbox, reply drafts, short digest","01, 03, 04, 06",No
06,Admin Correspondence Drafter,Generic,Legal / regulatory / admin,"""Write to / reply to / appeal / follow up with"" any organization","Draft formal evidence-based FR/EN letters & emails, adapt register, track case threads","Case threads, Knowledge Cache","Ready-to-send letters/emails (bilingual), per-case logs","01, 03, 08, 10",No
07,Income Opportunity Scout,Generic,Income,"Job hunting, tutoring outreach, lead review, ""find me work/income""","Scout & score opportunities, tailor applications, tutoring session plans, track applications","Job boards, leads, target profile (from cache)","Scored leads, tailored applications, applications register","01, 02, 03, 10",No
08,Content Publishing Agent,Generic,Content,"""Write/publish a post"", content planning, repurposing","Plan editorial calendar, draft on-pillar posts, repurpose, schedule/publish, link to income & advocacy","Content backlog, WordPress config (from cache)","Drafted & scheduled posts, editorial calendar","01, 06, 07, 10",No
09,Weekly Planner & Prioritizer,Generic,Cross-cutting (planning),"""Plan my week/day"", ""what should I do"", overload, re-planning","Synthesize all open items into a realistic health-first plan, right-size to energy, sequence for stability","Outputs of agents 02-08","Day-by-day plan, Top-3 today, ""not this week"" list","02, 03, 04, 05, 06, 07, 08",No
10,Knowledge Cache Curator,Generic,Cross-cutting (memory),"""Remember this"", fact changes, any agent needs a fact","Maintain single source of truth, update sparingly with durable facts, de-dup/prune, guard freshness, protect sensitive data","Everything durable across the fleet","Maintained cache/index, freshness flags",All agents,No
